Time,601_volt,620_volt,623_volt,634_volt,640_volt,647_volt,670_volt,671_volt,673_volt,674_volt,686_volt
08:16.4,0.021996,0,0,-0.00099945,-0.6,0.022003,-0.043999,0.064995,-0.065002,-0.151,-0.086998
08:16.5,0.043999,0.087006,0,-0.00099945,-0.6,0,-0.043999,0.064995,-0.065002,-0.151,-0.042999
08:16.6,0,0.195,0,-0.00099945,-0.598,0.022003,-0.043999,0.042999,-0.065002,-0.151,-0.064995
08:16.7,0.021996,0.195,0,-0.00099945,0,0.022003,-0.022003,0.064995,-0.108,-0.108,-0.086998
08:16.8,0.021996,0.238,0,-0.00099945,-0.089996,0,-0.022003,0.042999,-0.108,-0.13,-0.13
08:16.9,0,0.216,0,0,-0.089996,0,0,0.042999,-0.087006,-0.173,-0.086998
08:17.0,0,0.216,0,0,-0.089996,0.022003,0,0.064995,-0.065002,-0.173,-0.13
08:17.1,0.043999,0.108,-0.021996,0,-0.089996,0.022003,-0.022003,0.064995,-0.087006,-0.13,-0.108
08:17.2,0.043999,0.108,-0.021996,0,0,0.022003,-0.022003,0.064995,-0.065002,-0.13,-0.13
08:17.3,0.064995,0.022003,-0.021996,0,-0.089996,0.042999,-0.022003,0.064995,-0.065002,-0.108,-0.151
08:17.4,0.13,-0.020996,-0.021996,-0.00099945,-0.089996,0.042999,-0.022003,0.064995,-0.042999,-0.13,-0.086998
08:17.5,0.064995,-0.042999,0,-0.00099945,-0.089996,0.022003,-0.022003,0.042999,-0.087006,-0.13,-0.086998
08:17.6,0.043999,0,-0.021996,-0.00099945,-0.089996,0.022003,-0.022003,0.064995,-0.065002,-0.13,-0.086998
08:17.7,0.043999,0,-0.021996,-0.00099945,-0.089996,0,0,0.064995,-0.087006,-0.13,-0.042999
08:17.8,0.021996,0.042999,-0.021996,-0.00099945,-0.089996,0,-0.022003,0.042999,-0.087006,-0.151,-0.064995
08:17.9,0.021996,0.042999,-0.043999,-0.00099945,-0.089996,0.022003,-0.043999,0.042999,-0.065002,-0.085999,-0.064995
08:18.0,-0.021004,0.022003,-0.021996,-0.00099945,-0.089996,0.042999,-0.065002,0.064995,-0.065002,-0.065002,-0.151
08:18.1,-0.021004,-0.064995,-0.021996,-0.00099945,-0.089996,0,-0.065002,0.064995,-0.042999,-0.065002,-0.173
08:18.2,-0.021004,0,-0.021996,0,0,-0.194,-0.065002,0.086998,-0.065002,-0.065002,-0.151
08:18.3,-0.021004,-1.556,-0.021996,0,0,-0.042999,-0.043999,0.086998,-0.065002,-0.108,-0.151
08:18.4,0.043999,-1.08,-0.021996,0,-0.089996,0.022003,-0.043999,0.086998,-0.065002,-0.085999,-0.151
08:18.5,-0.021004,-0.886,-0.021996,-0.00099945,-0.089996,0,-0.043999,0.086998,-0.065002,-0.085999,-0.151
08:18.6,-0.043007,-0.735,-0.021996,-0.00099945,-0.089996,0,-0.043999,0.10799,-0.022003,-0.085999,-0.173
08:18.7,-0.021004,-0.64799,-0.021996,-0.00099945,-0.089996,0.022003,-0.022003,0.10799,-0.065002,-0.108,-0.151
08:18.8,-0.043007,-0.605,-0.021996,-0.00099945,-0.089996,0.022003,-0.022003,0.10799,-0.042999,-0.108,-0.173
08:18.9,-0.043007,-0.605,-0.021996,-0.00099945,-0.089996,0.022003,-0.022003,0.064995,-0.065002,-0.085999,-0.173
